Floor,Creature_ID,Rarity_Tier
21,DFMC-026,C
21,DFMC-029,C
21,DFMC-020,UC
21,DFMC-021,UC
21,DFMC-024,UC
21,DFMC-027,R
21,DFMC-030,R
21,DFMC-022,SSR
21,DFMC-025,SR
22,DFMC-020,C
22,DFMC-026,C
22,DFMC-029,C
22,DFMC-023,UC
22,DFMC-024,UC
22,DFMC-027,UC
22,DFMC-030,R
22,DFMC-021,R
22,DFMC-022,SSR
22,DFMC-028,SR
23,DFMC-020,C
23,DFMC-023,C
23,DFMC-029,C
23,DFMC-026,UC
23,DFMC-027,UC
23,DFMC-030,UC
23,DFMC-021,R
23,DFMC-024,R
23,DFMC-022,SSR
23,DFMC-031,SR
24,DFMC-020,C
24,DFMC-023,C
24,DFMC-026,C
24,DFMC-029,UC
24,DFMC-030,UC
24,DFMC-021,UC
24,DFMC-024,R
24,DFMC-027,R
24,DFMC-022,SSR
24,DFMC-025,SR
25,DFMC-023,C
25,DFMC-026,C
25,DFMC-029,C
25,DFMC-020,UC
25,DFMC-021,UC
25,DFMC-024,UC
25,DFMC-027,R
25,DFMC-030,R
25,DFMC-022,SR
25,DFMC-028,SSR
26,DFMC-020,C
26,DFMC-026,C
26,DFMC-029,C
26,DFMC-023,UC
26,DFMC-024,UC
26,DFMC-027,UC
26,DFMC-030,R
26,DFMC-021,R
26,DFMC-022,SR
26,DFMC-031,SSR
27,DFMC-020,C
27,DFMC-023,C
27,DFMC-029,C
27,DFMC-026,UC
27,DFMC-027,UC
27,DFMC-030,UC
27,DFMC-021,R
27,DFMC-024,R
27,DFMC-022,SR
27,DFMC-025,SSR
28,DFMC-020,C
28,DFMC-023,C
28,DFMC-026,C
28,DFMC-029,UC
28,DFMC-030,UC
28,DFMC-021,UC
28,DFMC-024,R
28,DFMC-027,R
28,DFMC-022,SR
28,DFMC-028,SSR
29,DFMC-023,C
29,DFMC-026,C
29,DFMC-029,C
29,DFMC-020,UC
29,DFMC-021,UC
29,DFMC-024,UC
29,DFMC-027,R
29,DFMC-030,R
29,DFMC-022,SR
29,DFMC-031,SSR
30,DFMC-020,C
30,DFMC-026,C
30,DFMC-029,C
30,DFMC-023,UC
30,DFMC-024,UC
30,DFMC-027,UC
30,DFMC-030,R
30,DFMC-021,R
30,DFMC-022,SR
30,DFMC-025,SSR
31,DFMC-035,C
31,DFMC-038,C
31,DFMC-104,C
31,DFMC-032,UC
31,DFMC-033,UC
31,DFMC-036,UC
31,DFMC-039,R
31,DFMC-105,R
31,DFMC-034,SSR
31,DFMC-037,SR
32,DFMC-032,C
32,DFMC-038,C
32,DFMC-104,C
32,DFMC-035,UC
32,DFMC-036,UC
32,DFMC-039,UC
32,DFMC-105,R
32,DFMC-033,R
32,DFMC-034,SSR
32,DFMC-040,SR
33,DFMC-032,C
33,DFMC-035,C
33,DFMC-104,C
33,DFMC-038,UC
33,DFMC-039,UC
33,DFMC-105,UC
33,DFMC-033,R
33,DFMC-036,R
33,DFMC-034,SSR
33,DFMC-106,SR
34,DFMC-032,C
34,DFMC-035,C
34,DFMC-038,C
34,DFMC-104,UC
34,DFMC-105,UC
34,DFMC-033,UC
34,DFMC-036,R
34,DFMC-039,R
34,DFMC-034,SSR
34,DFMC-037,SR
35,DFMC-035,C
35,DFMC-038,C
35,DFMC-104,C
35,DFMC-032,UC
35,DFMC-033,UC
35,DFMC-036,UC
35,DFMC-039,R
35,DFMC-105,R
35,DFMC-034,SR
35,DFMC-040,SSR
36,DFMC-032,C
36,DFMC-038,C
36,DFMC-104,C
36,DFMC-035,UC
36,DFMC-036,UC
36,DFMC-039,UC
36,DFMC-105,R
36,DFMC-033,R
36,DFMC-034,SR
36,DFMC-106,SSR
37,DFMC-032,C
37,DFMC-035,C
37,DFMC-104,C
37,DFMC-038,UC
37,DFMC-039,UC
37,DFMC-105,UC
37,DFMC-033,R
37,DFMC-036,R
37,DFMC-034,SR
37,DFMC-037,SSR
38,DFMC-032,C
38,DFMC-035,C
38,DFMC-038,C
38,DFMC-104,UC
38,DFMC-105,UC
38,DFMC-033,UC
38,DFMC-036,R
38,DFMC-039,R
38,DFMC-034,SR
38,DFMC-040,SSR
39,DFMC-035,C
39,DFMC-038,C
39,DFMC-104,C
39,DFMC-032,UC
39,DFMC-033,UC
39,DFMC-036,UC
39,DFMC-039,R
39,DFMC-105,R
39,DFMC-034,SR
39,DFMC-106,SSR
40,DFMC-032,C
40,DFMC-038,C
40,DFMC-104,C
40,DFMC-035,UC
40,DFMC-036,UC
40,DFMC-039,UC
40,DFMC-105,R
40,DFMC-033,R
40,DFMC-034,SR
40,DFMC-037,SSR
41,DFMC-044,C
41,DFMC-047,C
41,DFMC-107,C
41,DFMC-041,UC
41,DFMC-042,UC
41,DFMC-045,UC
41,DFMC-048,R
41,DFMC-108,R
41,DFMC-043,SSR
41,DFMC-046,SR
42,DFMC-041,C
42,DFMC-047,C
42,DFMC-107,C
42,DFMC-044,UC
42,DFMC-045,UC
42,DFMC-048,UC
42,DFMC-108,R
42,DFMC-042,R
42,DFMC-043,SSR
42,DFMC-049,SR
43,DFMC-041,C
43,DFMC-044,C
43,DFMC-107,C
43,DFMC-047,UC
43,DFMC-048,UC
43,DFMC-108,UC
43,DFMC-042,R
43,DFMC-045,R
43,DFMC-043,SSR
43,DFMC-109,SR
44,DFMC-041,C
44,DFMC-044,C
44,DFMC-047,C
44,DFMC-107,UC
44,DFMC-108,UC
44,DFMC-042,UC
44,DFMC-045,R
44,DFMC-048,R
44,DFMC-043,SSR
44,DFMC-046,SR
45,DFMC-044,C
45,DFMC-047,C
45,DFMC-107,C
45,DFMC-041,UC
45,DFMC-042,UC
45,DFMC-045,UC
45,DFMC-048,R
45,DFMC-108,R
45,DFMC-043,SR
45,DFMC-049,SSR
46,DFMC-041,C
46,DFMC-047,C
46,DFMC-107,C
46,DFMC-044,UC
46,DFMC-045,UC
46,DFMC-048,UC
46,DFMC-108,R
46,DFMC-042,R
46,DFMC-043,SR
46,DFMC-109,SSR
47,DFMC-041,C
47,DFMC-044,C
47,DFMC-107,C
47,DFMC-047,UC
47,DFMC-048,UC
47,DFMC-108,UC
47,DFMC-042,R
47,DFMC-045,R
47,DFMC-043,SR
47,DFMC-046,SSR
48,DFMC-041,C
48,DFMC-044,C
48,DFMC-047,C
48,DFMC-107,UC
48,DFMC-108,UC
48,DFMC-042,UC
48,DFMC-045,R
48,DFMC-048,R
48,DFMC-043,SR
48,DFMC-049,SSR
49,DFMC-044,C
49,DFMC-047,C
49,DFMC-107,C
49,DFMC-041,UC
49,DFMC-042,UC
49,DFMC-045,UC
49,DFMC-048,R
49,DFMC-108,R
49,DFMC-043,SR
49,DFMC-109,SSR
50,DFMC-041,C
50,DFMC-047,C
50,DFMC-107,C
50,DFMC-044,UC
50,DFMC-045,UC
50,DFMC-048,UC
50,DFMC-108,R
50,DFMC-042,R
50,DFMC-043,SR
50,DFMC-046,SSR
51,DFMC-053,C
51,DFMC-056,C
51,DFMC-110,C
51,DFMC-050,UC
51,DFMC-051,UC
51,DFMC-054,UC
51,DFMC-057,R
51,DFMC-111,R
51,DFMC-052,SSR
51,DFMC-055,SR
52,DFMC-050,C
52,DFMC-056,C
52,DFMC-110,C
52,DFMC-053,UC
52,DFMC-054,UC
52,DFMC-057,UC
52,DFMC-111,R
52,DFMC-051,R
52,DFMC-052,SSR
52,DFMC-058,SR
53,DFMC-050,C
53,DFMC-053,C
53,DFMC-110,C
53,DFMC-056,UC
53,DFMC-057,UC
53,DFMC-111,UC
53,DFMC-051,R
53,DFMC-054,R
53,DFMC-052,SSR
53,DFMC-112,SR
54,DFMC-050,C
54,DFMC-053,C
54,DFMC-056,C
54,DFMC-110,UC
54,DFMC-111,UC
54,DFMC-051,UC
54,DFMC-054,R
54,DFMC-057,R
54,DFMC-052,SSR
54,DFMC-055,SR
55,DFMC-053,C
55,DFMC-056,C
55,DFMC-110,C
55,DFMC-050,UC
55,DFMC-051,UC
55,DFMC-054,UC
55,DFMC-057,R
55,DFMC-111,R
55,DFMC-052,SR
55,DFMC-058,SSR
56,DFMC-050,C
56,DFMC-056,C
56,DFMC-110,C
56,DFMC-053,UC
56,DFMC-054,UC
56,DFMC-057,UC
56,DFMC-111,R
56,DFMC-051,R
56,DFMC-052,SR
56,DFMC-112,SSR
57,DFMC-050,C
57,DFMC-053,C
57,DFMC-110,C
57,DFMC-056,UC
57,DFMC-057,UC
57,DFMC-111,UC
57,DFMC-051,R
57,DFMC-054,R
57,DFMC-052,SR
57,DFMC-055,SSR
58,DFMC-050,C
58,DFMC-053,C
58,DFMC-056,C
58,DFMC-110,UC
58,DFMC-111,UC
58,DFMC-051,UC
58,DFMC-054,R
58,DFMC-057,R
58,DFMC-052,SR
58,DFMC-058,SSR
59,DFMC-053,C
59,DFMC-056,C
59,DFMC-110,C
59,DFMC-050,UC
59,DFMC-051,UC
59,DFMC-054,UC
59,DFMC-057,R
59,DFMC-111,R
59,DFMC-052,SR
59,DFMC-112,SSR
60,DFMC-050,C
60,DFMC-056,C
60,DFMC-110,C
60,DFMC-053,UC
60,DFMC-054,UC
60,DFMC-057,UC
60,DFMC-111,R
60,DFMC-051,R
60,DFMC-052,SR
60,DFMC-055,SSR
61,DFMC-062,C
61,DFMC-065,C
61,DFMC-113,C
61,DFMC-059,UC
61,DFMC-060,UC
61,DFMC-063,UC
61,DFMC-066,R
61,DFMC-114,R
61,DFMC-061,SSR
61,DFMC-064,SR
62,DFMC-059,C
62,DFMC-065,C
62,DFMC-113,C
62,DFMC-062,UC
62,DFMC-063,UC
62,DFMC-066,UC
62,DFMC-114,R
62,DFMC-060,R
62,DFMC-061,SSR
62,DFMC-067,SR
63,DFMC-059,C
63,DFMC-062,C
63,DFMC-113,C
63,DFMC-065,UC
63,DFMC-066,UC
63,DFMC-114,UC
63,DFMC-060,R
63,DFMC-063,R
63,DFMC-061,SSR
63,DFMC-115,SR
64,DFMC-059,C
64,DFMC-062,C
64,DFMC-065,C
64,DFMC-113,UC
64,DFMC-114,UC
64,DFMC-060,UC
64,DFMC-063,R
64,DFMC-066,R
64,DFMC-061,SSR
64,DFMC-064,SR
65,DFMC-062,C
65,DFMC-065,C
65,DFMC-113,C
65,DFMC-059,UC
65,DFMC-060,UC
65,DFMC-063,UC
65,DFMC-066,R
65,DFMC-114,R
65,DFMC-061,SR
65,DFMC-067,SSR
66,DFMC-059,C
66,DFMC-065,C
66,DFMC-113,C
66,DFMC-062,UC
66,DFMC-063,UC
66,DFMC-066,UC
66,DFMC-114,R
66,DFMC-060,R
66,DFMC-061,SR
66,DFMC-115,SSR
67,DFMC-059,C
67,DFMC-062,C
67,DFMC-113,C
67,DFMC-065,UC
67,DFMC-066,UC
67,DFMC-114,UC
67,DFMC-060,R
67,DFMC-063,R
67,DFMC-061,SR
67,DFMC-064,SSR
68,DFMC-059,C
68,DFMC-062,C
68,DFMC-065,C
68,DFMC-113,UC
68,DFMC-114,UC
68,DFMC-060,UC
68,DFMC-063,R
68,DFMC-066,R
68,DFMC-061,SR
68,DFMC-067,SSR
69,DFMC-062,C
69,DFMC-065,C
69,DFMC-113,C
69,DFMC-059,UC
69,DFMC-060,UC
69,DFMC-063,UC
69,DFMC-066,R
69,DFMC-114,R
69,DFMC-061,SR
69,DFMC-115,SSR
70,DFMC-059,C
70,DFMC-065,C
70,DFMC-113,C
70,DFMC-062,UC
70,DFMC-063,UC
70,DFMC-066,UC
70,DFMC-114,R
70,DFMC-060,R
70,DFMC-061,SR
70,DFMC-064,SSR
71,DFMC-071,C
71,DFMC-074,C
71,DFMC-077,C
71,DFMC-068,UC
71,DFMC-069,UC
71,DFMC-072,UC
71,DFMC-075,R
71,DFMC-078,R
71,DFMC-070,SSR
71,DFMC-073,SR
72,DFMC-068,C
72,DFMC-074,C
72,DFMC-077,C
72,DFMC-071,UC
72,DFMC-072,UC
72,DFMC-075,UC
72,DFMC-078,R
72,DFMC-069,R
72,DFMC-070,SSR
72,DFMC-076,SR
73,DFMC-068,C
73,DFMC-071,C
73,DFMC-077,C
73,DFMC-074,UC
73,DFMC-075,UC
73,DFMC-078,UC
73,DFMC-069,R
73,DFMC-072,R
73,DFMC-070,SSR
73,DFMC-079,SR
74,DFMC-068,C
74,DFMC-071,C
74,DFMC-074,C
74,DFMC-077,UC
74,DFMC-078,UC
74,DFMC-069,UC
74,DFMC-072,R
74,DFMC-075,R
74,DFMC-070,SSR
74,DFMC-073,SR
75,DFMC-071,C
75,DFMC-074,C
75,DFMC-077,C
75,DFMC-068,UC
75,DFMC-069,UC
75,DFMC-072,UC
75,DFMC-075,R
75,DFMC-078,R
75,DFMC-070,SR
75,DFMC-076,SSR
76,DFMC-068,C
76,DFMC-074,C
76,DFMC-077,C
76,DFMC-071,UC
76,DFMC-072,UC
76,DFMC-075,UC
76,DFMC-078,R
76,DFMC-069,R
76,DFMC-070,SR
76,DFMC-079,SSR
77,DFMC-068,C
77,DFMC-071,C
77,DFMC-077,C
77,DFMC-074,UC
77,DFMC-075,UC
77,DFMC-078,UC
77,DFMC-069,R
77,DFMC-072,R
77,DFMC-070,SR
77,DFMC-073,SSR
78,DFMC-068,C
78,DFMC-071,C
78,DFMC-074,C
78,DFMC-077,UC
78,DFMC-078,UC
78,DFMC-069,UC
78,DFMC-072,R
78,DFMC-075,R
78,DFMC-070,SR
78,DFMC-076,SSR
79,DFMC-071,C
79,DFMC-074,C
79,DFMC-077,C
79,DFMC-068,UC
79,DFMC-069,UC
79,DFMC-072,UC
79,DFMC-075,R
79,DFMC-078,R
79,DFMC-070,SR
79,DFMC-079,SSR
80,DFMC-068,C
80,DFMC-074,C
80,DFMC-077,C
80,DFMC-071,UC
80,DFMC-072,UC
80,DFMC-075,UC
80,DFMC-078,R
80,DFMC-069,R
80,DFMC-070,SR
80,DFMC-073,SSR
81,DFMC-083,C
81,DFMC-086,C
81,DFMC-089,C
81,DFMC-080,UC
81,DFMC-081,UC
81,DFMC-084,UC
81,DFMC-087,R
81,DFMC-090,R
81,DFMC-082,SSR
81,DFMC-085,SR
82,DFMC-080,C
82,DFMC-086,C
82,DFMC-089,C
82,DFMC-083,UC
82,DFMC-084,UC
82,DFMC-087,UC
82,DFMC-090,R
82,DFMC-081,R
82,DFMC-082,SSR
82,DFMC-088,SR
83,DFMC-080,C
83,DFMC-083,C
83,DFMC-089,C
83,DFMC-086,UC
83,DFMC-087,UC
83,DFMC-090,UC
83,DFMC-081,R
83,DFMC-084,R
83,DFMC-082,SSR
83,DFMC-091,SR
84,DFMC-080,C
84,DFMC-083,C
84,DFMC-086,C
84,DFMC-089,UC
84,DFMC-090,UC
84,DFMC-081,UC
84,DFMC-084,R
84,DFMC-087,R
84,DFMC-082,SSR
84,DFMC-085,SR
85,DFMC-083,C
85,DFMC-086,C
85,DFMC-089,C
85,DFMC-080,UC
85,DFMC-081,UC
85,DFMC-084,UC
85,DFMC-087,R
85,DFMC-090,R
85,DFMC-082,SR
85,DFMC-088,SSR
86,DFMC-080,C
86,DFMC-086,C
86,DFMC-089,C
86,DFMC-083,UC
86,DFMC-084,UC
86,DFMC-087,UC
86,DFMC-090,R
86,DFMC-081,R
86,DFMC-082,SR
86,DFMC-091,SSR
87,DFMC-080,C
87,DFMC-083,C
87,DFMC-089,C
87,DFMC-086,UC
87,DFMC-087,UC
87,DFMC-090,UC
87,DFMC-081,R
87,DFMC-084,R
87,DFMC-082,SR
87,DFMC-085,SSR
88,DFMC-080,C
88,DFMC-083,C
88,DFMC-086,C
88,DFMC-089,UC
88,DFMC-090,UC
88,DFMC-081,UC
88,DFMC-084,R
88,DFMC-087,R
88,DFMC-082,SR
88,DFMC-088,SSR
89,DFMC-083,C
89,DFMC-086,C
89,DFMC-089,C
89,DFMC-080,UC
89,DFMC-081,UC
89,DFMC-084,UC
89,DFMC-087,R
89,DFMC-090,R
89,DFMC-082,SR
89,DFMC-091,SSR
90,DFMC-080,C
90,DFMC-086,C
90,DFMC-089,C
90,DFMC-083,UC
90,DFMC-084,UC
90,DFMC-087,UC
90,DFMC-090,R
90,DFMC-081,R
90,DFMC-082,SR
90,DFMC-085,SSR
91,DFMC-095,C
91,DFMC-098,C
91,DFMC-116,C
91,DFMC-092,UC
91,DFMC-093,UC
91,DFMC-096,UC
91,DFMC-099,R
91,DFMC-117,R
91,DFMC-094,SSR
91,DFMC-097,SR
92,DFMC-092,C
92,DFMC-098,C
92,DFMC-116,C
92,DFMC-095,UC
92,DFMC-096,UC
92,DFMC-099,UC
92,DFMC-117,R
92,DFMC-093,R
92,DFMC-094,SSR
92,DFMC-100,SR
93,DFMC-092,C
93,DFMC-095,C
93,DFMC-116,C
93,DFMC-098,UC
93,DFMC-099,UC
93,DFMC-117,UC
93,DFMC-093,R
93,DFMC-096,R
93,DFMC-094,SSR
93,DFMC-118,SR
94,DFMC-092,C
94,DFMC-095,C
94,DFMC-098,C
94,DFMC-116,UC
94,DFMC-117,UC
94,DFMC-093,UC
94,DFMC-096,R
94,DFMC-099,R
94,DFMC-094,SSR
94,DFMC-097,SR
95,DFMC-095,C
95,DFMC-098,C
95,DFMC-116,C
95,DFMC-092,UC
95,DFMC-093,UC
95,DFMC-096,UC
95,DFMC-099,R
95,DFMC-117,R
95,DFMC-094,SR
95,DFMC-100,SSR
96,DFMC-092,C
96,DFMC-098,C
96,DFMC-116,C
96,DFMC-095,UC
96,DFMC-096,UC
96,DFMC-099,UC
96,DFMC-117,R
96,DFMC-093,R
96,DFMC-094,SR
96,DFMC-118,SSR
97,DFMC-092,C
97,DFMC-095,C
97,DFMC-116,C
97,DFMC-098,UC
97,DFMC-099,UC
97,DFMC-117,UC
97,DFMC-093,R
97,DFMC-096,R
97,DFMC-094,SR
97,DFMC-097,SSR
98,DFMC-092,C
98,DFMC-095,C
98,DFMC-098,C
98,DFMC-116,UC
98,DFMC-117,UC
98,DFMC-093,UC
98,DFMC-096,R
98,DFMC-099,R
98,DFMC-094,SR
98,DFMC-100,SSR
99,DFMC-095,C
99,DFMC-098,C
99,DFMC-116,C
99,DFMC-092,UC
99,DFMC-093,UC
99,DFMC-096,UC
99,DFMC-099,R
99,DFMC-117,R
99,DFMC-094,SR
99,DFMC-118,SSR
100,DFMC-092,C
100,DFMC-098,C
100,DFMC-116,C
100,DFMC-095,UC
100,DFMC-096,UC
100,DFMC-099,UC
100,DFMC-117,R
100,DFMC-093,R
100,DFMC-094,SR
100,DFMC-097,SSR
