Soul_ID,Line_ID,Gear_Slot,Scope,Rarity,Effect_S3
S-NIGHTMARE-GLOVES,NIGHTMARE,Gloves,Local,Uncommon,This item's Attack contribution ×1.40.
S-NIGHTMARE-FEET,NIGHTMARE,Feet,Team,Uncommon,Allies deal +5% on the first turn.
S-GOLGOTH-HEAD,GOLGOTH,Head,Personal,Uncommon,+6% Defense.
S-GOLGOTH-CHEST,GOLGOTH,Chest,Local,Uncommon,This armour's Defense ×1.40.
S-GOLGOTH-GLOVES,GOLGOTH,Gloves,Personal,Uncommon,+6% Attack while below 50% HP.
S-GOLGOTH-FEET,GOLGOTH,Feet,Team,Uncommon,Allies take -4% damage from damage-over-time.
S-WYCHROOT-HEAD,WYCHROOT,Head,Personal,Uncommon,Healing you receive +10%.
S-WYCHROOT-CHEST,WYCHROOT,Chest,Local,Uncommon,This armour's Defense ×1.40.
S-WYCHROOT-GLOVES,WYCHROOT,Gloves,Personal,Uncommon,Your damage-over-time effects deal +7%.
S-WYCHROOT-FEET,WYCHROOT,Feet,Team,Uncommon,Allies +5% Defense.
S-GARROTE-HEAD,GARROTE,Head,Personal,Rare,+7% Attack vs targets below 40% HP.
S-GARROTE-CHEST,GARROTE,Chest,Personal,Rare,+7% HP.
S-GARROTE-GLOVES,GARROTE,Gloves,Local,Rare,This item's Attack contribution ×1.45.
S-GARROTE-FEET,GARROTE,Feet,Team,Rare,Allies deal +4% vs targets with reduced Attack.
S-GALLOWSBIRD-HEAD,GALLOWSBIRD,Head,Personal,Rare,+6% Attack vs targets below 50% HP.
S-GALLOWSBIRD-CHEST,GALLOWSBIRD,Chest,Personal,Rare,+7% HP.
S-GALLOWSBIRD-GLOVES,GALLOWSBIRD,Gloves,Personal,Rare,Your debuffs last +1 turn.
S-GALLOWSBIRD-FEET,GALLOWSBIRD,Feet,Team,Rare,Allies deal +6% vs targets below 50% HP.
S-HERNE-HEAD,HERNE,Head,Team,Super Rare,Allies' healing received +7%.
S-HERNE-CHEST,HERNE,Chest,Personal,Super Rare,+8% HP.
S-HERNE-GLOVES,HERNE,Gloves,Personal,Super Rare,Your buffs on allies last +1 turn.
S-HERNE-FEET,HERNE,Feet,Local,Super Rare,This item's Defense contribution ×1.52.
S-TIDECRAWLER-HEAD,TIDECRAWLER,Head,Personal,Common,+5% Defense while you have a Defense buff.
S-TIDECRAWLER-CHEST,TIDECRAWLER,Chest,Local,Common,This armour's Defense ×1.35.
S-TIDECRAWLER-GLOVES,TIDECRAWLER,Gloves,Personal,Common,Attackers that hit you take 4% of their damage back.
S-TIDECRAWLER-FEET,TIDECRAWLER,Feet,Team,Common,Allies +4% Defense on the first turn.
S-SALTJAW-HEAD,SALTJAW,Head,Personal,Common,+5% Attack vs targets with a damage-over-time effect.
S-SALTJAW-CHEST,SALTJAW,Chest,Personal,Common,"+5% HP."
S-SALTJAW-GLOVES,SALTJAW,Gloves,Local,Common,This item's Attack contribution ×1.35.
S-SALTJAW-FEET,SALTJAW,Feet,Team,Common,Allies' bleed effects deal +4%.
S-BRINEFROG-HEAD,BRINEFROG,Head,Personal,Common,Your status debuffs are +6% more potent.
S-BRINEFROG-CHEST,BRINEFROG,Chest,Local,Common,This armour's Defense ×1.35.
S-BRINEFROG-GLOVES,BRINEFROG,Gloves,Personal,Common,+5% Defense.
S-BRINEFROG-FEET,BRINEFROG,Feet,Team,Common,Enemy Attack debuffs from allies last +1 turn.
S-CRESTMANTIS-HEAD,CRESTMANTIS,Head,Personal,Uncommon,+5% Attack on Heavy and Nuke moves.
S-CRESTMANTIS-CHEST,CRESTMANTIS,Chest,Personal,Uncommon,+6% Attack while above 70% HP.
S-CRESTMANTIS-GLOVES,CRESTMANTIS,Gloves,Local,Uncommon,This item's Attack contribution ×1.40.
S-CRESTMANTIS-FEET,CRESTMANTIS,Feet,Team,Uncommon,Allies' first hit each battle deals +5%.
S-RUSALKA-HEAD,RUSALKA,Head,Team,Uncommon,Allies' healing received +5%.
S-RUSALKA-CHEST,RUSALKA,Chest,Personal,Uncommon,+6% HP.
S-RUSALKA-GLOVES,RUSALKA,Gloves,Personal,Uncommon,Your heals restore +10% more.
S-RUSALKA-FEET,RUSALKA,Feet,Local,Uncommon,This item's Defense contribution ×1.40.
S-BULWARK-HEAD,BULWARK,Head,Personal,Rare,+7% Defense while below 50% HP.
S-BULWARK-CHEST,BULWARK,Chest,Local,Rare,This armour's Defense ×1.45.
S-BULWARK-GLOVES,BULWARK,Gloves,Personal,Rare,Attackers that hit you take 5% of their damage back.
S-BULWARK-FEET,BULWARK,Feet,Team,Rare,Allies take -4% damage.
S-NETHEREEL-HEAD,NETHEREEL,Head,Personal,Rare,+7% Attack on the first turn.
S-NETHEREEL-CHEST,NETHEREEL,Chest,Personal,Rare,+7% HP.
S-NETHEREEL-GLOVES,NETHEREEL,Gloves,Local,Rare,This item's Attack contribution ×1.45.
S-NETHEREEL-FEET,NETHEREEL,Feet,Team,Rare,Allies deal +4% vs Spectral and Void targets.
S-CORALHYDRA-HEAD,CORALHYDRA,Head,Personal,Super Rare,+7% Attack while above 70% HP.
S-CORALHYDRA-CHEST,CORALHYDRA,Chest,Local,Super Rare,This armour's Defense ×1.52.
S-CORALHYDRA-GLOVES,CORALHYDRA,Gloves,Personal,Super Rare,Your multi-hit moves deal +8%.
S-CORALHYDRA-FEET,CORALHYDRA,Feet,Team,Super Rare,Allies +5% Defense.
S-DAGON-HEAD,DAGON,Head,Team,Super Super Rare,Allies deal +6% vs debuffed targets.
S-DAGON-CHEST,DAGON,Chest,Personal,Super Super Rare,+9% HP.
S-DAGON-GLOVES,DAGON,Gloves,Local,Super Super Rare,This item's Attack contribution ×1.60.
S-DAGON-FEET,DAGON,Feet,Team,Super Super Rare,Allies' debuffs last +1 turn.
S-VOIDSIPHON-HEAD,VOIDSIPHON,Head,Personal,Uncommon,Enemy Attack debuffs you apply are +7% more potent.
S-VOIDSIPHON-CHEST,VOIDSIPHON,Chest,Local,Uncommon,This armour's Defense ×1.40.
S-VOIDSIPHON-GLOVES,VOIDSIPHON,Gloves,Personal,Uncommon,+6% Defense.
S-VOIDSIPHON-FEET,VOIDSIPHON,Feet,Team,Uncommon,Allies take -4% damage on the first turn.
S-DUSKSCALE-HEAD,DUSKSCALE,Head,Personal,Uncommon,+6% Defense.
S-DUSKSCALE-CHEST,DUSKSCALE,Chest,Local,Uncommon,This armour's Defense ×1.40.
S-DUSKSCALE-GLOVES,DUSKSCALE,Gloves,Personal,Uncommon,+6% Attack at or above 70% HP.
S-DUSKSCALE-FEET,DUSKSCALE,Feet,Team,Uncommon,"Allies take -4% damage on the first turn."
S-SANDSKITTER-HEAD,SANDSKITTER,Head,Personal,Common,Your Defense debuffs are +6% more potent.
S-SANDSKITTER-CHEST,SANDSKITTER,Chest,Personal,Common,+5% HP.
S-SANDSKITTER-GLOVES,SANDSKITTER,Gloves,Personal,Common,+4% Attack vs debuffed targets.
S-SANDSKITTER-FEET,SANDSKITTER,Feet,Team,Common,Allies deal +4% vs targets with reduced Defense.
S-DUNECOIL-HEAD,DUNECOIL,Head,Personal,Common,+5% Attack on the first turn.
S-DUNECOIL-CHEST,DUNECOIL,Chest,Local,Common,This armour's Defense ×1.35.
S-DUNECOIL-GLOVES,DUNECOIL,Gloves,Personal,Common,Your damage-over-time effects deal +6%.
S-DUNECOIL-FEET,DUNECOIL,Feet,Team,Common,Allies' first hit each battle deals +4%.
S-FATA-HEAD,FATA,Head,Personal,Common,+5% Attack while untouched this battle.
S-FATA-CHEST,FATA,Chest,Personal,Common,+5% HP.
S-FATA-GLOVES,FATA,Gloves,Local,Common,This item's Attack contribution ×1.35.
S-FATA-FEET,FATA,Feet,Team,Common,Allies take -3% damage on the first turn.
S-SIMOOM-HEAD,SIMOOM,Head,Personal,Uncommon,Debuffs on you expire 12% sooner.
S-SIMOOM-CHEST,SIMOOM,Chest,Local,Uncommon,This armour's Defense ×1.40.
S-SIMOOM-GLOVES,SIMOOM,Gloves,Personal,Uncommon,"+6% Defense."
S-SIMOOM-FEET,SIMOOM,Feet,Team,Uncommon,Allies take -4% damage from damage-over-time.
S-ECHIDNA-HEAD,ECHIDNA,Head,Personal,Uncommon,Your damage-over-time effects deal +7%.
S-ECHIDNA-CHEST,ECHIDNA,Chest,Personal,Uncommon,+6% HP.
S-ECHIDNA-GLOVES,ECHIDNA,Gloves,Local,Uncommon,This item's Attack contribution ×1.40.
S-ECHIDNA-FEET,ECHIDNA,Feet,Team,Uncommon,Allies' damage-over-time effects deal +5%.
S-EMBERCLAW-HEAD,EMBERCLAW,Head,Personal,Rare,+6% Attack vs targets with a damage-over-time effect.
S-EMBERCLAW-CHEST,EMBERCLAW,Chest,Local,Rare,This armour's Defense ×1.45.
S-EMBERCLAW-GLOVES,EMBERCLAW,Gloves,Personal,Rare,Your damage-over-time effects deal +8%.
S-EMBERCLAW-FEET,EMBERCLAW,Feet,Team,Rare,Allies' burn-type effects deal +6%.
S-ZARATAN-HEAD,ZARATAN,Head,Personal,Rare,+7% Defense.
S-ZARATAN-CHEST,ZARATAN,Chest,Local,Rare,This armour's Defense ×1.45.
S-ZARATAN-GLOVES,ZARATAN,Gloves,Personal,Rare,Attackers that hit you take 5% of their damage back.
S-ZARATAN-FEET,ZARATAN,Feet,Team,Rare,Allies +6% Defense while you are above 50% HP.
S-MARID-HEAD,MARID,Head,Personal,Super Rare,+7% Attack on the first turn.
S-MARID-CHEST,MARID,Chest,Personal,Super Rare,+8% HP.
S-MARID-GLOVES,MARID,Gloves,Local,Super Rare,This item's Attack contribution ×1.52.
S-MARID-FEET,MARID,Feet,Team,Super Rare,Allies' Attack debuffs on enemies are +6% more potent.
S-OUROBOROS-HEAD,OUROBOROS,Head,Personal,Super Super Rare,Debuffs on you expire 15% sooner.
S-OUROBOROS-CHEST,OUROBOROS,Chest,Personal,Super Super Rare,+9% HP.
S-OUROBOROS-GLOVES,OUROBOROS,Gloves,Local,Super Super Rare,This item's Attack contribution ×1.60.
S-OUROBOROS-FEET,OUROBOROS,Feet,Team,Super Super Rare,"Allies' damage-over-time effects last +1 turn."
S-GLOOMGRUB-HEAD,GLOOMGRUB,Head,Personal,Common,Your Defense debuffs are +6% more potent.
S-GLOOMGRUB-CHEST,GLOOMGRUB,Chest,Local,Common,This armour's Defense ×1.35.
S-GLOOMGRUB-GLOVES,GLOOMGRUB,Gloves,Personal,Common,+5% Defense.
S-GLOOMGRUB-FEET,GLOOMGRUB,Feet,Team,Common,Allies deal +4% vs targets with reduced Defense.
S-THORNHUSK-HEAD,THORNHUSK,Head,Personal,Common,+5% Defense while you have not attacked this turn.
S-THORNHUSK-CHEST,THORNHUSK,Chest,Local,Common,This armour's Defense ×1.35.
S-THORNHUSK-GLOVES,THORNHUSK,Gloves,Personal,Common,Attackers that hit you take 4% of their damage back.
S-THORNHUSK-FEET,THORNHUSK,Feet,Team,Common,Allies +4% Defense.
S-SPOREFLY-HEAD,SPOREFLY,Head,Personal,Common,Your damage-over-time effects deal +6%.
S-SPOREFLY-CHEST,SPOREFLY,Chest,Personal,Common,+5% HP.
S-SPOREFLY-GLOVES,SPOREFLY,Gloves,Personal,Common,Your damage-over-time effects last +1 turn.
S-SPOREFLY-FEET,SPOREFLY,Feet,Team,Common,Fungal allies deal +6%.
S-ARACHNE-HEAD,ARACHNE,Head,Personal,Uncommon,+5% Attack vs targets with reduced Speed stages.
S-ARACHNE-CHEST,ARACHNE,Chest,Local,Uncommon,This armour's Defense ×1.40.
S-ARACHNE-GLOVES,ARACHNE,Gloves,Personal,Uncommon,Your damage-over-time effects deal +7%.
S-ARACHNE-FEET,ARACHNE,Feet,Team,Uncommon,Allies deal +5% vs targets with reduced Speed stages.
S-CARNIFORA-HEAD,CARNIFORA,Head,Personal,Uncommon,Healing you receive +10%.
S-CARNIFORA-CHEST,CARNIFORA,Chest,Local,Uncommon,This armour's Defense ×1.40.
S-CARNIFORA-GLOVES,CARNIFORA,Gloves,Personal,Uncommon,Your attacks that heal you restore +10% more.
S-CARNIFORA-FEET,CARNIFORA,Feet,Team,Uncommon,Allies +5% Defense.
S-PLAGUECARRIER-HEAD,PLAGUECARRIER,Head,Personal,Uncommon,Your damage-over-time effects are +7% more potent.
S-PLAGUECARRIER-CHEST,PLAGUECARRIER,Chest,Personal,Uncommon,+6% HP.
S-PLAGUECARRIER-GLOVES,PLAGUECARRIER,Gloves,Local,Uncommon,This item's Attack contribution ×1.40.
S-PLAGUECARRIER-FEET,PLAGUECARRIER,Feet,Team,Uncommon,Allies' damage-over-time effects deal +5%.
S-DEVOUT-HEAD,DEVOUT,Head,Personal,Rare,+6% Attack on the first turn.
S-DEVOUT-CHEST,DEVOUT,Chest,Personal,Rare,+6% HP.
S-DEVOUT-GLOVES,DEVOUT,Gloves,Local,Rare,This item's Attack contribution ×1.45.
S-DEVOUT-FEET,DEVOUT,Feet,Team,Rare,Allies take -4% damage on the first turn.
S-LOCUST-HEAD,LOCUST,Head,Personal,Rare,+6% Attack while any ally is an Insect.
S-LOCUST-CHEST,LOCUST,Chest,Personal,Rare,+6% HP.
S-LOCUST-GLOVES,LOCUST,Gloves,Local,Rare,This item's Attack contribution ×1.45.
S-LOCUST-FEET,LOCUST,Feet,Team,Rare,Insect allies deal +6%.
S-VESPERA-HEAD,VESPERA,Head,Team,Super Rare,Insect allies' damage-over-time effects deal +7%.
S-VESPERA-CHEST,VESPERA,Chest,Personal,Super Rare,"+8% HP."
S-VESPERA-GLOVES,VESPERA,Gloves,Local,Super Rare,This item's Attack contribution ×1.52.
S-VESPERA-FEET,VESPERA,Feet,Team,Super Rare,Allies' debuffs last +1 turn.
S-YGGDRASIL-HEAD,YGGDRASIL,Head,Team,Super Super Rare,Allies' healing received +8%.
S-YGGDRASIL-CHEST,YGGDRASIL,Chest,Local,Super Super Rare,This armour's Defense ×1.60.
S-YGGDRASIL-GLOVES,YGGDRASIL,Gloves,Personal,Super Super Rare,+10% Defense.
S-YGGDRASIL-FEET,YGGDRASIL,Feet,Team,Super Super Rare,Allies +7% Defense.
S-CLIFFPINCER-HEAD,CLIFFPINCER,Head,Personal,Common,+5% Defense.
S-CLIFFPINCER-CHEST,CLIFFPINCER,Chest,Local,Common,This armour's Defense ×1.35.
S-CLIFFPINCER-GLOVES,CLIFFPINCER,Gloves,Personal,Common,+5% Attack vs targets that acted before you this turn.
S-CLIFFPINCER-FEET,CLIFFPINCER,Feet,Team,Common,Allies +4% Defense.
S-CRUSHMAUL-HEAD,CRUSHMAUL,Head,Personal,Common,+5% Defense while you have a Defense buff.
S-CRUSHMAUL-CHEST,CRUSHMAUL,Chest,Local,Common,This armour's Defense ×1.35.
S-CRUSHMAUL-GLOVES,CRUSHMAUL,Gloves,Personal,Common,Attackers that hit you take 4% of their damage back.
S-CRUSHMAUL-FEET,CRUSHMAUL,Feet,Team,Common,Allies take -3% damage from multi-hit moves.
S-SLAGWORM-HEAD,SLAGWORM,Head,Personal,Common,Your Defense debuffs are +6% more potent.
S-SLAGWORM-CHEST,SLAGWORM,Chest,Local,Common,This armour's Defense ×1.35.
S-SLAGWORM-GLOVES,SLAGWORM,Gloves,Personal,Common,+5% Defense.
S-SLAGWORM-FEET,SLAGWORM,Feet,Team,Common,Allies deal +4% vs targets with reduced Defense.
S-RIDGEDRAKE-HEAD,RIDGEDRAKE,Head,Personal,Super Super Rare,+7% Attack at or above 70% HP.
S-RIDGEDRAKE-CHEST,RIDGEDRAKE,Chest,Local,Super Super Rare,This armour's Defense ×1.60.
S-RIDGEDRAKE-GLOVES,RIDGEDRAKE,Gloves,Personal,Super Super Rare,Your damage-over-time effects deal +8%.
S-RIDGEDRAKE-FEET,RIDGEDRAKE,Feet,Team,Super Super Rare,Allies' burn-type effects deal +6%.
S-STONECALLER-HEAD,STONECALLER,Head,Personal,Uncommon,+6% Defense.
S-STONECALLER-CHEST,STONECALLER,Chest,Local,Uncommon,This armour's Defense ×1.40.
S-STONECALLER-GLOVES,STONECALLER,Gloves,Personal,Uncommon,Your Speed-stage debuffs last +1 turn.
S-STONECALLER-FEET,STONECALLER,Feet,Team,Uncommon,Construct and Arthropod allies +6% Defense.
S-SANGLEECH-HEAD,SANGLEECH,Head,Personal,Uncommon,Your attacks that heal you restore +12% more.
S-SANGLEECH-CHEST,SANGLEECH,Chest,Personal,Uncommon,+6% HP.
S-SANGLEECH-GLOVES,SANGLEECH,Gloves,Local,Uncommon,This item's Attack contribution ×1.40.
S-SANGLEECH-FEET,SANGLEECH,Feet,Team,Uncommon,Allies' attacks that heal them restore +6% more.
S-CRAGGERNAUT-HEAD,CRAGGERNAUT,Head,Personal,Rare,+6% Defense.
S-CRAGGERNAUT-CHEST,CRAGGERNAUT,Chest,Local,Rare,This armour's Defense ×1.45.
S-CRAGGERNAUT-GLOVES,CRAGGERNAUT,Gloves,Personal,Rare,Your multi-hit moves deal +8%.
S-CRAGGERNAUT-FEET,CRAGGERNAUT,Feet,Team,Rare,Allies +5% Defense.
S-VOIDSHELL-HEAD,VOIDSHELL,Head,Personal,Rare,Enemy Attack debuffs you apply are +7% more potent.
S-VOIDSHELL-CHEST,VOIDSHELL,Chest,Local,Rare,This armour's Defense ×1.45.
S-VOIDSHELL-GLOVES,VOIDSHELL,Gloves,Personal,Rare,+6% Defense.
S-VOIDSHELL-FEET,VOIDSHELL,Feet,Team,Rare,Allies take -4% damage from Spectral and Fey enemies.
S-TALOS-HEAD,TALOS,Head,Personal,Super Rare,+7% Defense.
S-TALOS-CHEST,TALOS,Chest,Local,Super Rare,This armour's Defense ×1.52.
S-TALOS-GLOVES,TALOS,Gloves,Personal,Super Rare,Attackers that hit you take 5% of their damage back.
S-TALOS-FEET,TALOS,Feet,Team,Super Rare,Allies take -5% damage while you are above 50% HP.
S-MAGMACRAWLER-HEAD,MAGMACRAWLER,Head,Personal,Super Super Rare,+8% Attack vs targets with a damage-over-time effect.
S-MAGMACRAWLER-CHEST,MAGMACRAWLER,Chest,Local,Super Super Rare,This armour's Defense ×1.60.
S-MAGMACRAWLER-GLOVES,MAGMACRAWLER,Gloves,Personal,Super Super Rare,Your damage-over-time effects deal +10%.
S-MAGMACRAWLER-FEET,MAGMACRAWLER,Feet,Team,Super Super Rare,Allies' burn-type effects last +1 turn.
S-GUSTWING-HEAD,GUSTWING,Head,Personal,Common,+4% Attack on the first turn.
S-GUSTWING-CHEST,GUSTWING,Chest,Personal,Common,+5% HP.
S-GUSTWING-GLOVES,GUSTWING,Gloves,Local,Common,This item's Attack contribution ×1.35.
S-GUSTWING-FEET,GUSTWING,Feet,Team,Common,Allies' first hit each battle deals +4%.
S-STORMCROW-HEAD,STORMCROW,Head,Personal,Common,Your status debuffs are +6% more potent.
S-STORMCROW-CHEST,STORMCROW,Chest,Personal,Common,+5% HP.
S-STORMCROW-GLOVES,STORMCROW,Gloves,Personal,Common,+5% Attack vs targets you have debuffed.
S-STORMCROW-FEET,STORMCROW,Feet,Team,Common,Elemental allies deal +5%.
S-THUNDERMOTH-HEAD,THUNDERMOTH,Head,Personal,Common,Enemy Attack debuffs you apply are +6% more potent.
S-THUNDERMOTH-CHEST,THUNDERMOTH,Chest,Local,Common,This armour's Defense ×1.35.
S-THUNDERMOTH-GLOVES,THUNDERMOTH,Gloves,Personal,Common,+5% Defense.
S-THUNDERMOTH-FEET,THUNDERMOTH,Feet,Team,Common,Allies take -3% damage from Construct enemies.
S-ROC-HEAD,ROC,Head,Personal,Uncommon,+6% Attack on the first turn.
S-ROC-CHEST,ROC,Chest,Personal,Uncommon,+6% HP.
S-ROC-GLOVES,ROC,Gloves,Local,Uncommon,This item's Attack contribution ×1.40.
S-ROC-FEET,ROC,Feet,Team,Uncommon,Allies' first hit each battle deals +5%.
S-GALEHOWL-HEAD,GALEHOWL,Head,Personal,Uncommon,Your Speed-stage debuffs last +1 turn.
S-GALEHOWL-CHEST,GALEHOWL,Chest,Personal,Uncommon,+6% HP.
S-GALEHOWL-GLOVES,GALEHOWL,Gloves,Personal,Uncommon,+5% Attack vs targets with reduced Speed stages.
S-GALEHOWL-FEET,GALEHOWL,Feet,Team,Uncommon,Avian allies take -5% damage.
S-VOLTMANTLE-HEAD,VOLTMANTLE,Head,Personal,Rare,+5% Attack on the first turn.
S-VOLTMANTLE-CHEST,VOLTMANTLE,Chest,Local,Rare,This armour's Defense ×1.45.
S-VOLTMANTLE-GLOVES,VOLTMANTLE,Gloves,Personal,Rare,+7% Attack on the first turn.
S-VOLTMANTLE-FEET,VOLTMANTLE,Feet,Team,Rare,Allies' first hit each battle deals +5%.
S-COUATL-HEAD,COUATL,Head,Personal,Rare,+6% Attack while untouched this battle.
S-COUATL-CHEST,COUATL,Chest,Personal,Rare,+7% HP.
S-COUATL-GLOVES,COUATL,Gloves,Local,Rare,This item's Attack contribution ×1.45.
S-COUATL-FEET,COUATL,Feet,Team,Rare,Allies take -4% damage on the first turn.
S-TYPHON-HEAD,TYPHON,Head,Personal,Super Rare,+7% Defense.
S-TYPHON-CHEST,TYPHON,Chest,Local,Super Rare,This armour's Defense ×1.52.
S-TYPHON-GLOVES,TYPHON,Gloves,Personal,Super Rare,Your multi-hit moves deal +9%.
S-TYPHON-FEET,TYPHON,Feet,Team,Super Rare,Allies' Attack and Defense debuffs on enemies are +5% more potent.
S-ANZU-HEAD,ANZU,Head,Personal,Super Rare,+7% Attack on the first turn.
S-ANZU-CHEST,ANZU,Chest,Personal,Super Rare,+8% HP.
S-ANZU-GLOVES,ANZU,Gloves,Personal,Super Rare,Your Speed-stage effects last +1 turn.
S-ANZU-FEET,ANZU,Feet,Team,Super Rare,Allies deal +6% on the first turn.
S-STORMFATHER-HEAD,STORMFATHER,Head,Personal,Super Super Rare,+8% Attack vs targets with reduced Speed stages.
S-STORMFATHER-CHEST,STORMFATHER,Chest,Local,Super Super Rare,This armour's Defense ×1.60.
S-STORMFATHER-GLOVES,STORMFATHER,Gloves,Local,Super Super Rare,This item's Attack contribution ×1.60.
S-STORMFATHER-FEET,STORMFATHER,Feet,Team,Super Super Rare,Elemental and Dragon allies deal +7%.
S-BOGHOPPER-HEAD,BOGHOPPER,Head,Personal,Common,+5% Defense while you have a Defense buff.
S-BOGHOPPER-CHEST,BOGHOPPER,Chest,Local,Common,This armour's Defense ×1.35.
S-BOGHOPPER-GLOVES,BOGHOPPER,Gloves,Personal,Common,+5% Attack the turn after gaining a Defense buff.
S-BOGHOPPER-FEET,BOGHOPPER,Feet,Team,Common,Allies take -3% damage from damage-over-time.
S-MIRENEWT-HEAD,MIRENEWT,Head,Personal,Common,Enemy Attack debuffs you apply are +6% more potent.
S-MIRENEWT-CHEST,MIRENEWT,Chest,Personal,Common,+5% HP.
S-MIRENEWT-GLOVES,MIRENEWT,Gloves,Personal,Common,Debuffs on you expire 10% sooner.
S-MIRENEWT-FEET,MIRENEWT,Feet,Team,Common,Allies' Attack debuffs on enemies last +1 turn.
S-ROTFLY-HEAD,ROTFLY,Head,Personal,Common,Your damage-over-time effects deal +6%.
S-ROTFLY-CHEST,ROTFLY,Chest,Personal,Common,+5% HP.
S-ROTFLY-GLOVES,ROTFLY,Gloves,Local,Common,This item's Attack contribution ×1.35.
S-ROTFLY-FEET,ROTFLY,Feet,Team,Common,Undead allies deal +5%.
S-LICHFROG-HEAD,LICHFROG,Head,Team,Uncommon,Allies' healing received +6%.
S-LICHFROG-CHEST,LICHFROG,Chest,Local,Uncommon,This armour's Defense ×1.40.
S-LICHFROG-GLOVES,LICHFROG,Gloves,Personal,Uncommon,Your heals restore +10% more.
S-LICHFROG-FEET,LICHFROG,Feet,Team,Uncommon,Undead and Amphibian allies +5% Defense.
S-WISPMAW-HEAD,WISPMAW,Head,Personal,Uncommon,Your Speed-stage debuffs are +7% more potent.
S-WISPMAW-CHEST,WISPMAW,Chest,Personal,Uncommon,+6% HP.
S-WISPMAW-GLOVES,WISPMAW,Gloves,Personal,Uncommon,+6% Attack vs targets with reduced Speed stages.
S-WISPMAW-FEET,WISPMAW,Feet,Team,Uncommon,Allies deal +5% vs targets with reduced Speed stages.
S-GRENDEL-HEAD,GRENDEL,Head,Personal,Uncommon,+6% Defense.
S-GRENDEL-CHEST,GRENDEL,Chest,Local,Uncommon,This armour's Defense ×1.40.
S-GRENDEL-GLOVES,GRENDEL,Gloves,Personal,Uncommon,+6% Attack while below 50% HP.
S-GRENDEL-FEET,GRENDEL,Feet,Team,Uncommon,Allies' first attack each battle deals +5%.
S-DRAUGR-HEAD,DRAUGR,Head,Personal,Rare,+6% Defense.
S-DRAUGR-CHEST,DRAUGR,Chest,Local,Rare,This armour's Defense ×1.45.
S-DRAUGR-GLOVES,DRAUGR,Gloves,Personal,Rare,Enemy Attack debuffs you apply are +6% more potent.
S-DRAUGR-FEET,DRAUGR,Feet,Team,Rare,Allies take -4% damage from Beast enemies.
S-GALLOWVINE-HEAD,GALLOWVINE,Head,Personal,Rare,Your Speed-stage debuffs last +1 turn.
S-GALLOWVINE-CHEST,GALLOWVINE,Chest,Local,Rare,This armour's Defense ×1.45.
S-GALLOWVINE-GLOVES,GALLOWVINE,Gloves,Personal,Rare,+6% Attack vs targets with reduced Speed stages.
S-GALLOWVINE-FEET,GALLOWVINE,Feet,Team,Rare,Undead allies deal +6%.
S-MIREMOTHER-HEAD,MIREMOTHER,Head,Team,Super Rare,Allies' healing received +7%.
S-MIREMOTHER-CHEST,MIREMOTHER,Chest,Local,Super Rare,This armour's Defense ×1.52.
S-MIREMOTHER-GLOVES,MIREMOTHER,Gloves,Personal,Super Rare,Your heals restore +12% more.
S-MIREMOTHER-FEET,MIREMOTHER,Feet,Team,Super Rare,Amphibian and Horror allies +6% Defense.
S-CENOTAPH-HEAD,CENOTAPH,Head,Personal,Super Super Rare,+8% Attack vs targets with no active buffs.
S-CENOTAPH-CHEST,CENOTAPH,Chest,Local,Super Super Rare,This armour's Defense ×1.60.
