Id,Name,Group,File,Frames,Cols,Frame_W,Frame_H,Source_Blend,Hue,Sat,Colored,Licence,Source
FX-029,Rime Bloom,ice,assets/fx/bank/fx-029.webp,24,6,105,128,lighter,195,0.92,yes,CC0-1.0,Effekseer EffectMaterials ef_ice02 (24f)
FX-030,Shatterfrost,ice,assets/fx/bank/fx-030.webp,24,6,121,128,lighter,201,0.92,yes,CC0-1.0,Effekseer EffectMaterials ef_ice03 (24f)
FX-031,Arc Strike,lightning,assets/fx/bank/fx-031.webp,24,6,128,126,lighter,250,0.96,yes,CC0-1.0,Effekseer EffectMaterials ef_lightning01 (24f)
FX-032,Thunder Ring,lightning,assets/fx/bank/fx-032.webp,24,6,128,121,lighter,232,0.87,yes,CC0-1.0,Effekseer EffectMaterials ef_lightning02 (24f)
FX-033,Storm Descent,lightning,assets/fx/bank/fx-033.webp,32,6,80,128,lighter,248,0.9,yes,CC0-1.0,Effekseer EffectMaterials ef_lightning03 (32f)
FX-034,Sanctified Circle,holy,assets/fx/bank/fx-034.webp,24,6,114,128,lighter,,0,no,CC0-1.0,Effekseer EffectMaterials ef_holy01 (24f)
FX-035,Gale Vortex,wind,assets/fx/bank/fx-035.webp,24,6,128,127,lighter,103,0.97,yes,CC0-1.0,Effekseer EffectMaterials ef_wind01 (24f)
FX-036,Cyclone Ring,wind,assets/fx/bank/fx-036.webp,24,6,124,128,lighter,163,0.92,yes,CC0-1.0,Effekseer EffectMaterials ef_wind02 (24f)
FX-037,Tempest Coil,wind,assets/fx/bank/fx-037.webp,24,6,128,128,lighter,144,0.94,yes,CC0-1.0,Effekseer EffectMaterials ef_wind03 (24f)
FX-038,Strike Flash,impact,assets/fx/bank/fx-038.webp,7,6,128,128,lighter,178,0.92,yes,CC0-1.0,Effekseer EffectMaterials ef_parts_hit01 (7f)
FX-039,Shard Burst,impact,assets/fx/bank/fx-039.webp,11,6,128,107,lighter,179,0.95,yes,CC0-1.0,Effekseer EffectMaterials ef_parts_hit02 (11f)
FX-040,Ember Sphere,explosion,assets/fx/bank/fx-040.webp,24,6,125,128,lighter,38,0.96,yes,CC0-1.0,Effekseer EffectMaterials ef_fire03 (24f)
FX-041,Crescent Slash,slash,assets/fx/bank/fx-041.webp,26,6,128,128,lighter,203,0.93,yes,CC0-1.0,Effekseer sample library tktk01__Sword7 (26f)
FX-042,Wide Slash,slash,assets/fx/bank/fx-042.webp,26,6,128,89,lighter,43,0.95,yes,CC0-1.0,Effekseer sample library tktk01__Sword11 (26f)
FX-043,Spin Slash,slash,assets/fx/bank/fx-043.webp,26,6,128,115,lighter,115,0.96,yes,CC0-1.0,Effekseer sample library tktk01__Sword4 (26f)
FX-044,Claw Rake,slash,assets/fx/bank/fx-044.webp,26,6,128,89,lighter,0,0.92,no,CC0-1.0,Effekseer sample library tktk02__Claw4 (26f)
FX-045,Impact Star,impact,assets/fx/bank/fx-045.webp,24,6,128,87,lighter,349,0.83,no,CC0-1.0,Effekseer sample library tktk01__Blow12 (24f)
FX-046,Heavy Impact,impact,assets/fx/bank/fx-046.webp,24,6,112,128,lighter,1,0.97,yes,CC0-1.0,Effekseer sample library tktk01__Blow2 (24f)
FX-047,Warded Impact,impact,assets/fx/bank/fx-047.webp,24,6,110,128,lighter,16,0.96,yes,CC0-1.0,Effekseer sample library tktk02__Blow4 (24f)
FX-048,Piercing Bolt,impact,assets/fx/bank/fx-048.webp,24,6,51,128,lighter,37,0.93,yes,CC0-1.0,Effekseer sample library tktk02__Spear2 (24f)
FX-049,Water Shard,water,assets/fx/bank/fx-049.webp,26,6,128,122,lighter,196,0.98,yes,CC0-1.0,Effekseer sample library NextSoft01__MagicWater (26f)
FX-050,Void Bloom,dark,assets/fx/bank/fx-050.webp,26,6,112,128,lighter,315,0.84,yes,CC0-1.0,Effekseer sample library tktk01__Dark3 (26f)
FX-051,Mending Ring,holy,assets/fx/bank/fx-051.webp,26,6,128,115,lighter,,0,no,CC0-1.0,Effekseer sample library NextSoft01__MagicHeal1 (26f)
FX-052,Cure Ring,holy,assets/fx/bank/fx-052.webp,26,6,126,128,lighter,180,0.96,yes,CC0-1.0,Effekseer sample library tktk01__Cure6 (26f)
FX-053,Radiant Burst,holy,assets/fx/bank/fx-053.webp,24,6,118,128,lighter,67,0.97,yes,CC0-1.0,Effekseer sample library tktk02__Light1 (24f)
FX-054,Empowerment,buff,assets/fx/bank/fx-054.webp,26,6,126,128,lighter,18,0.98,yes,CC0-1.0,Effekseer sample library NextSoft01__PowerUp (26f)
FX-055,Hex Motes,buff,assets/fx/bank/fx-055.webp,26,6,97,128,lighter,359,0.92,yes,CC0-1.0,Effekseer sample library tktk01__hozyo4 (26f)
