ID,Line_ID,Stage,Name,Grade_Attack,Grade_Defense,Grade_Utility,Grade_Speed,Current_Attack,Current_Defense,Atk_AxisMult,Def_AxisMult
DFMC-060,DAGON,3,Dagon,10,4,9,3,10,4,1.75,0.85
DFMC-061,SANDSKITTER,1,Haunt,2,1,6,8,3,2,0.55,0.4
DFMC-062,SANDSKITTER,2,Wraith,2,1,6,8,3,2,0.55,0.4
DFMC-063,SANDSKITTER,3,Banshee,3,2,6,8,3,2,0.7,0.55
DFMC-064,DUNECOIL,1,Wyrmling,4,2,4,7,7,3,0.85,0.55
DFMC-065,DUNECOIL,2,Neonate,6,2,4,7,7,3,1.15,0.55
DFMC-066,DUNECOIL,3,Sidewinder,7,3,4,7,7,3,1.3,0.7
DFMC-067,FATA,1,Mirage,4,1,4,8,7,1,0.85,0.4
DFMC-068,FATA,2,Sylph,6,1,4,8,7,1,1.15,0.4
DFMC-069,FATA,3,Fata,7,1,4,8,7,1,1.3,0.4
DFMC-070,SIMOOM,1,Grit,4,6,4,2,6,9,0.85,1.15
DFMC-071,SIMOOM,2,Sirocco,5,7,4,2,6,9,1.0,1.3
DFMC-072,SIMOOM,3,Simoom,6,9,4,2,6,9,1.15,1.6
DFMC-073,ECHIDNA,1,Lamia,5,1,7,4,8,2,1.0,0.4
DFMC-074,ECHIDNA,2,Gorgon,7,1,7,4,8,2,1.3,0.4
DFMC-075,ECHIDNA,3,Echidna,8,2,7,4,8,2,1.45,0.55
DFMC-076,VOIDSIPHON,1,Paralarva,2,5,7,2,4,8,0.55,1.0
DFMC-077,VOIDSIPHON,2,Inkling,3,7,7,2,4,8,0.7,1.3
DFMC-078,VOIDSIPHON,3,Voidsiphon,4,8,7,2,4,8,0.85,1.45
DFMC-079,EMBERCLAW,1,Cinder,5,2,3,7,8,4,1.0,0.55
DFMC-080,EMBERCLAW,2,Scorchscale,7,3,3,7,8,4,1.3,0.7
DFMC-081,EMBERCLAW,3,Emberclaw,8,4,3,7,8,4,1.45,0.85
DFMC-082,ZARATAN,1,Terrapin,2,6,8,1,4,9,0.55,1.15
DFMC-083,ZARATAN,2,Kurma,3,7,8,1,4,9,0.7,1.3
DFMC-084,ZARATAN,3,Zaratan,4,9,8,1,4,9,0.85,1.6
DFMC-085,MARID,1,Jann,6,2,4,8,9,3,1.15,0.55
DFMC-086,MARID,2,Ifrit,7,2,4,8,9,3,1.3,0.55
DFMC-087,MARID,3,Marid,9,3,4,8,9,3,1.6,0.7
DFMC-088,OUROBOROS,1,Nidhogg,6,2,9,4,10,3,1.15,0.55
DFMC-089,OUROBOROS,2,Jormungand,8,2,9,4,10,3,1.45,0.55
DFMC-090,OUROBOROS,3,Ouroboros,10,3,9,4,10,3,1.75,0.7
DFMC-091,GLOOMGRUB,1,Larva,1,4,8,4,1,7,0.4,0.85
DFMC-092,GLOOMGRUB,2,Maggot,1,6,8,4,1,7,0.4,1.15
DFMC-093,GLOOMGRUB,3,Gloomgrub,1,7,8,4,1,7,0.4,1.3
DFMC-094,THORNHUSK,1,Instar,2,4,6,2,4,7,0.55,0.85
DFMC-095,THORNHUSK,2,Thornshell,3,6,6,2,4,7,0.7,1.15
DFMC-096,THORNHUSK,3,Thornhusk,4,7,6,2,4,7,0.85,1.3
DFMC-097,SPOREFLY,1,Ovum,2,2,6,8,3,3,0.55,0.55
DFMC-098,SPOREFLY,2,Sporeling,2,2,6,8,3,3,0.55,0.55
DFMC-099,SPOREFLY,3,Sporefly,3,3,6,8,3,3,0.7,0.7
DFMC-100,ARACHNE,1,Spiderling,5,2,7,4,8,3,1.0,0.55
DFMC-101,ARACHNE,2,Orbweaver,7,2,7,4,8,3,1.3,0.55
DFMC-102,ARACHNE,3,Arachne,8,3,7,4,8,3,1.45,0.7
DFMC-103,CARNIFORA,1,Sundew,1,5,8,3,2,8,0.4,1.0
DFMC-104,CARNIFORA,2,Flytrap,1,7,8,3,2,8,0.4,1.3
DFMC-105,CARNIFORA,3,Carnifora,2,8,8,3,2,8,0.55,1.45
DFMC-106,PLAGUECARRIER,1,Vector,2,2,7,7,3,4,0.55,0.55
DFMC-107,PLAGUECARRIER,2,Contagion,2,3,7,7,3,4,0.55,0.7
DFMC-108,PLAGUECARRIER,3,Plaguecarrier,3,4,7,7,3,4,0.7,0.85
DFMC-109,DEVOUT,1,Novice,2,2,8,8,4,3,0.55,0.55
DFMC-110,DEVOUT,2,Acolyte,3,2,8,8,4,3,0.7,0.55
DFMC-111,DEVOUT,3,Devout,4,3,8,8,4,3,0.85,0.7
DFMC-112,LOCUST,1,Nymph,6,2,3,7,9,3,1.15,0.55
DFMC-113,LOCUST,2,Hopper,7,2,3,7,9,3,1.3,0.55
DFMC-114,LOCUST,3,Locust,9,3,3,7,9,3,1.6,0.7
DFMC-115,VESPERA,1,Vespid,6,2,8,4,9,3,1.15,0.55
DFMC-116,VESPERA,2,Cordyceps,7,2,8,4,9,3,1.3,0.55
DFMC-117,VESPERA,3,Vespera,9,3,8,4,9,3,1.6,0.7
DFMC-118,YGGDRASIL,1,Taproot,2,6,9,4,3,10,0.55,1.15
DFMC-119,YGGDRASIL,2,Mycorrhiza,2,8,9,4,3,10,0.55,1.45
DFMC-120,YGGDRASIL,3,Yggdrasil,3,10,9,4,3,10,0.7,1.75
DFMC-121,CLIFFPINCER,1,Megalopa,4,5,4,2,6,8,0.85,1.0
DFMC-122,CLIFFPINCER,2,Scuttler,5,7,4,2,6,8,1.0,1.3
DFMC-123,CLIFFPINCER,3,Cliffpincer,6,8,4,2,6,8,1.15,1.45
DFMC-124,CRUSHMAUL,1,Scute,4,5,2,3,7,8,0.85,1.0
DFMC-125,CRUSHMAUL,2,Carapace,6,7,2,3,7,8,1.15,1.3
DFMC-126,CRUSHMAUL,3,Crushmaul,7,8,2,3,7,8,1.3,1.45
DFMC-127,SLAGWORM,1,Dross,1,4,7,3,2,7,0.4,0.85
DFMC-128,SLAGWORM,2,Smelt,1,6,7,3,2,7,0.4,1.15
DFMC-129,SLAGWORM,3,Slagworm,2,7,7,3,2,7,0.55,1.3
DFMC-130,RIDGEDRAKE,1,Drakeling,5,4,4,3,8,7,1.0,0.85
DFMC-131,RIDGEDRAKE,2,Dragonet,7,6,4,3,8,7,1.3,1.15
DFMC-132,RIDGEDRAKE,3,Ridgedrake,8,7,4,3,8,7,1.45,1.3
DFMC-133,STONECALLER,1,Crayfish,2,6,6,3,4,9,0.55,1.15
DFMC-134,STONECALLER,2,Stonecaller,3,7,6,3,4,9,0.7,1.3
DFMC-135,STONECALLER,3,Despot,4,9,6,3,4,9,0.85,1.6
DFMC-136,SANGLEECH,1,Fluke,4,2,7,4,7,3,0.85,0.55
DFMC-137,SANGLEECH,2,Sangleech,6,2,7,4,7,3,1.15,0.55
DFMC-138,SANGLEECH,3,Sanguinarch,7,3,7,4,7,3,1.3,0.7
DFMC-139,CRAGGERNAUT,1,Colony,4,6,3,3,7,9,0.85,1.15
DFMC-140,CRAGGERNAUT,2,Aggregate,6,7,3,3,7,9,1.15,1.3
DFMC-141,CRAGGERNAUT,3,Craggernaut,7,9,3,3,7,9,1.3,1.6
DFMC-142,VOIDSHELL,1,Scorpling,4,6,4,3,7,9,0.85,1.15
DFMC-143,VOIDSHELL,2,Umbra,6,7,4,3,7,9,1.15,1.3
DFMC-144,VOIDSHELL,3,Voidshell,7,9,4,3,7,9,1.3,1.6
DFMC-145,TALOS,1,Automaton,5,6,3,4,8,9,1.0,1.15
DFMC-146,TALOS,2,Colossus,7,7,3,4,8,9,1.3,1.3
DFMC-147,TALOS,3,Talos,8,9,3,4,8,9,1.45,1.6
DFMC-148,MAGMACRAWLER,1,Scoria,6,6,4,3,10,9,1.15,1.15
DFMC-149,MAGMACRAWLER,2,Obsidian,8,7,4,3,10,9,1.45,1.3
DFMC-150,MAGMACRAWLER,3,Magmacrawler,10,9,4,3,10,9,1.75,1.6
DFMC-151,GUSTWING,1,Chick,4,2,3,9,6,3,0.85,0.55
DFMC-152,GUSTWING,2,Zephyr,5,2,3,9,6,3,1.0,0.55
DFMC-153,GUSTWING,3,Gustwing,6,3,3,9,6,3,1.15,0.7
DFMC-154,STORMCROW,1,Fledgling,2,2,6,8,3,4,0.55,0.55
DFMC-155,STORMCROW,2,Stormcrow,2,3,6,8,3,4,0.55,0.7
DFMC-156,STORMCROW,3,Tempestcrow,3,4,6,8,3,4,0.7,0.85
DFMC-157,THUNDERMOTH,1,Chrysalis,1,2,6,8,2,4,0.4,0.55
DFMC-158,THUNDERMOTH,2,Sparkwing,1,3,6,8,2,4,0.4,0.7
DFMC-159,THUNDERMOTH,3,Thundermoth,2,4,6,8,2,4,0.55,0.85
DFMC-160,ROC,1,Eyas,5,2,3,8,8,3,1.0,0.55
DFMC-161,ROC,2,Haggard,7,2,3,8,8,3,1.3,0.55
DFMC-162,ROC,3,Roc,8,3,3,8,8,3,1.45,0.7
DFMC-163,GALEHOWL,1,Yelp,2,2,7,8,3,3,0.55,0.55
DFMC-164,GALEHOWL,2,Squall,2,2,7,8,3,3,0.55,0.55
DFMC-165,GALEHOWL,3,Galehowl,3,3,7,8,3,3,0.7,0.7
DFMC-166,VOLTMANTLE,1,Static,4,2,3,9,7,4,0.85,0.55
DFMC-167,VOLTMANTLE,2,Arcwing,6,3,3,9,7,4,1.15,0.7
DFMC-168,VOLTMANTLE,3,Voltmantle,7,4,3,9,7,4,1.3,0.85
DFMC-169,COUATL,1,Amphiptere,6,2,4,7,9,3,1.15,0.55
DFMC-170,COUATL,2,Quetzal,7,2,4,7,9,3,1.3,0.55
DFMC-171,COUATL,3,Couatl,9,3,4,7,9,3,1.6,0.7
DFMC-172,TYPHON,1,Tempest,6,5,3,5,9,8,1.15,1.0
DFMC-173,TYPHON,2,Typhoon,7,7,3,5,9,8,1.3,1.3
DFMC-174,TYPHON,3,Typhon,9,8,3,5,9,8,1.6,1.45
DFMC-175,ANZU,1,Ziz,2,1,8,10,4,2,0.55,0.4
DFMC-176,ANZU,2,Simurgh,3,1,8,10,4,2,0.7,0.4
DFMC-177,ANZU,3,Anzu,4,2,8,10,4,2,0.85,0.55
DFMC-178,STORMFATHER,1,Riptide,6,2,3,9,10,4,1.15,0.55
DFMC-179,STORMFATHER,2,Maelstrom,8,3,3,9,10,4,1.45,0.7
DFMC-180,STORMFATHER,3,Charybdis,10,4,3,9,10,4,1.75,0.85
DFMC-181,BOGHOPPER,1,Spawn,2,4,7,4,3,6,0.55,0.85
DFMC-182,BOGHOPPER,2,Froglet,2,5,7,4,3,6,0.55,1.0
DFMC-183,BOGHOPPER,3,Boghopper,3,6,7,4,3,6,0.7,1.15
DFMC-184,MIRENEWT,1,Newtling,2,1,7,7,4,2,0.55,0.4
DFMC-185,MIRENEWT,2,Eft,3,1,7,7,4,2,0.7,0.4
DFMC-186,MIRENEWT,3,Mirenewt,4,2,7,7,4,2,0.85,0.55
DFMC-187,ROTFLY,1,Nit,4,1,4,8,6,2,0.85,0.4
DFMC-188,ROTFLY,2,Blowfly,5,1,4,8,6,2,1.0,0.4
DFMC-189,ROTFLY,3,Rotfly,6,2,4,8,6,2,1.15,0.55
DFMC-190,LICHFROG,1,Tadpole,2,4,8,4,3,7,0.55,0.85
DFMC-191,LICHFROG,2,Wight,2,6,8,4,3,7,0.55,1.15
DFMC-192,LICHFROG,3,Lichfrog,3,7,8,4,3,7,0.7,1.3
DFMC-193,WISPMAW,1,Glimmer,2,2,8,7,3,4,0.55,0.55
DFMC-194,WISPMAW,2,Lantern,2,3,8,7,3,4,0.55,0.7
DFMC-195,WISPMAW,3,Wispmaw,3,4,8,7,3,4,0.7,0.85
DFMC-196,GRENDEL,1,Orcneas,5,4,4,3,8,7,1.0,0.85
DFMC-197,GRENDEL,2,Eoten,7,6,4,3,8,7,1.3,1.15
DFMC-198,GRENDEL,3,Grendel,8,7,4,3,8,7,1.45,1.3
DFMC-199,DRAUGR,1,Vaettir,2,6,7,3,3,9,0.55,1.15
DFMC-200,DRAUGR,2,Haugbui,2,7,7,3,3,9,0.55,1.3
DFMC-201,DRAUGR,3,Draugr,3,9,7,3,3,9,0.7,1.6
DFMC-202,GALLOWVINE,1,Tendril,2,5,8,3,4,8,0.55,1.0
DFMC-203,GALLOWVINE,2,Bindweed,3,7,8,3,4,8,0.7,1.3
DFMC-204,GALLOWVINE,3,Gallowvine,4,8,8,3,4,8,0.85,1.45
DFMC-205,MIREMOTHER,1,Toadling,2,4,9,5,3,7,0.55,0.85
DFMC-206,MIREMOTHER,2,Behemoth,2,6,9,5,3,7,0.55,1.15
DFMC-207,MIREMOTHER,3,Miremother,3,7,9,5,3,7,0.7,1.3
DFMC-208,CENOTAPH,1,Vestige,3,6,9,3,5,9,0.7,1.15
DFMC-209,CENOTAPH,2,Revenant,4,7,9,3,5,9,0.85,1.3
DFMC-210,CENOTAPH,3,Cenotaph,5,9,9,3,5,9,1.0,1.6
DFMC-211,GLOOMCAP,1,Button,2,4,8,2,3,6,0.55,0.85
DFMC-212,GLOOMCAP,2,Toadstool,2,5,8,2,3,6,0.55,1.0
DFMC-213,GLOOMCAP,3,Gloomcap,3,6,8,2,3,6,0.7,1.15
DFMC-214,INKMANTLE,1,Cuttle,2,4,7,2,4,7,0.55,0.85
DFMC-215,INKMANTLE,2,Argonaut,3,6,7,2,4,7,0.7,1.15
DFMC-216,INKMANTLE,3,Inkmantle,4,7,7,2,4,7,0.85,1.3
DFMC-217,VEINMOLD,1,Hypha,1,4,9,4,2,6,0.4,0.85
DFMC-218,VEINMOLD,2,Rhizome,1,5,9,4,2,6,0.4,1.0
DFMC-219,VEINMOLD,3,Veinmold,2,6,9,4,2,6,0.55,1.15
DFMC-220,SIBYL,1,Nautilus,2,5,7,3,3,8,0.55,1.0
DFMC-221,SIBYL,2,Oracle,2,7,7,3,3,8,0.55,1.3
DFMC-222,SIBYL,3,Sibyl,3,8,7,3,3,8,0.7,1.45
DFMC-223,VERTIGO,1,Tremor,5,2,3,7,8,4,1.0,0.55
DFMC-224,VERTIGO,2,Palsy,7,3,3,7,8,4,1.3,0.7
DFMC-225,VERTIGO,3,Vertigo,8,4,3,7,8,4,1.45,0.85
DFMC-226,LAMPYRE,1,Kitling,2,2,7,8,3,4,0.55,0.55
DFMC-227,LAMPYRE,2,Foxfire,2,3,7,8,3,4,0.55,0.7
DFMC-228,LAMPYRE,3,Kitsune,3,4,7,8,3,4,0.7,0.85
DFMC-229,SPOREWHALE,1,Puffball,2,6,7,3,3,9,0.55,1.15
DFMC-230,SPOREWHALE,2,Leviathan,2,7,7,3,3,9,0.55,1.3
DFMC-231,SPOREWHALE,3,Sporewhale,3,9,7,3,3,9,0.7,1.6
DFMC-232,RIFTANGLER,1,Lure,5,2,4,8,8,3,1.0,0.55
DFMC-233,RIFTANGLER,2,Abyss,7,2,4,8,8,3,1.3,0.55
DFMC-234,RIFTANGLER,3,Riftangler,8,3,4,8,8,3,1.45,0.7
DFMC-235,MYCELIUM,1,Spore,2,4,9,5,3,7,0.55,0.85
DFMC-236,MYCELIUM,2,Bloom,2,6,9,5,3,7,0.55,1.15
DFMC-237,MYCELIUM,3,Mycelium,3,7,9,5,3,7,0.7,1.3
DFMC-238,KRAKEN,1,Veliger,6,6,4,3,10,9,1.15,1.15
DFMC-239,KRAKEN,2,Hafgufa,8,7,4,3,10,9,1.45,1.3
DFMC-240,KRAKEN,3,Kraken,10,9,4,3,10,9,1.75,1.6
DFMC-241,CRYSTALWRAITH,1,Phantom,2,1,7,7,4,2,0.55,0.4
DFMC-242,CRYSTALWRAITH,2,Geist,3,1,7,7,4,2,0.7,0.4
DFMC-243,CRYSTALWRAITH,3,Crystalwraith,4,2,7,7,4,2,0.85,0.55
DFMC-244,ASHBAT,1,Pup,4,2,2,9,6,3,0.85,0.55
DFMC-245,ASHBAT,2,Vesper,5,2,2,9,6,3,1.0,0.55
DFMC-246,ASHBAT,3,Ashbat,6,3,2,9,6,3,1.15,0.7
DFMC-247,GEMBORN,1,Shard,2,5,7,3,4,8,0.55,1.0
DFMC-248,GEMBORN,2,Geode,3,7,7,3,4,8,0.7,1.3
DFMC-249,GEMBORN,3,Gemborn,4,8,7,3,4,8,0.85,1.45
DFMC-250,BLOODCARVER,1,Stiletto,5,1,4,7,8,2,1.0,0.4
DFMC-251,BLOODCARVER,2,Scalpel,7,1,4,7,8,2,1.3,0.4
DFMC-252,BLOODCARVER,3,Bloodcarver,8,2,4,7,8,2,1.45,0.55
DFMC-253,SHATTERSPECTER,1,Splinter,4,2,8,4,7,3,0.85,0.55
DFMC-254,SHATTERSPECTER,2,Poltergeist,6,2,8,4,7,3,1.15,0.55
DFMC-255,SHATTERSPECTER,3,Shatterspecter,7,3,8,4,7,3,1.3,0.7
DFMC-256,VOIDHOUND,1,Whippet,6,2,3,8,9,3,1.15,0.55
DFMC-257,VOIDHOUND,2,Barghest,7,2,3,8,9,3,1.3,0.55
DFMC-258,VOIDHOUND,3,Voidhound,9,3,3,8,9,3,1.6,0.7
DFMC-259,DOPPELGANGER,1,Echo,2,2,8,8,4,3,0.55,0.55
DFMC-260,DOPPELGANGER,2,Fetch,3,2,8,8,4,3,0.7,0.55
DFMC-261,DOPPELGANGER,3,Doppelganger,4,3,8,8,4,3,0.85,0.7
DFMC-262,NOSFERATU,1,Nachzehrer,6,2,5,8,9,3,1.15,0.55
DFMC-263,NOSFERATU,2,Strigoi,7,2,5,8,9,3,1.3,0.55
DFMC-264,NOSFERATU,3,Nosferatu,9,3,5,8,9,3,1.6,0.7
DFMC-265,PHYLACTERY,1,Reliquary,2,5,9,3,4,8,0.55,1.0
DFMC-266,PHYLACTERY,2,Lich,3,7,9,3,4,8,0.7,1.3
DFMC-267,PHYLACTERY,3,Phylactery,4,8,9,3,4,8,0.85,1.45
DFMC-268,SPECULUM,1,Facet,2,2,10,9,3,4,0.55,0.55
DFMC-269,SPECULUM,2,Reflection,2,3,10,9,3,4,0.55,0.7
DFMC-270,SPECULUM,3,Speculum,3,4,10,9,3,4,0.7,0.85
DFMC-271,CINDERSHARD,1,Ember,4,5,4,2,6,8,0.85,1.0
DFMC-272,CINDERSHARD,2,Clinker,5,7,4,2,6,8,1.0,1.3
DFMC-273,CINDERSHARD,3,Protogale,6,8,4,2,6,8,1.15,1.45
DFMC-274,ASHWALKER,1,Soot,2,4,7,2,4,7,0.55,0.85
DFMC-275,ASHWALKER,2,Ossuary,3,6,7,2,4,7,0.7,1.15
DFMC-276,ASHWALKER,3,Ashwalker,4,7,7,2,4,7,0.85,1.3
DFMC-277,MOLOCH,1,Effigy,4,6,3,3,6,9,0.85,1.15
DFMC-278,MOLOCH,2,Idol,5,7,3,3,6,9,1.0,1.3
DFMC-279,MOLOCH,3,Moloch,6,9,3,3,6,9,1.15,1.6
DFMC-280,BLAZEWYRM,1,Flicker,5,1,4,7,8,2,1.0,0.4
DFMC-281,BLAZEWYRM,2,Salamander,7,1,4,7,8,2,1.3,0.4
DFMC-282,BLAZEWYRM,3,Blazewyrm,8,2,4,7,8,2,1.45,0.55
DFMC-283,INFERNOCHIMERA,1,Hybrid,6,2,3,7,9,4,1.15,0.55
DFMC-284,INFERNOCHIMERA,2,Chimera,7,3,3,7,9,4,1.3,0.7
DFMC-285,INFERNOCHIMERA,3,Omnichimera,9,4,3,7,9,4,1.6,0.85
DFMC-286,FERRODRAKE,1,Ingot,4,6,4,4,7,9,0.85,1.15
DFMC-287,FERRODRAKE,2,Ironclad,6,7,4,4,7,9,1.15,1.3
DFMC-288,FERRODRAKE,3,Ferrodrake,7,9,4,4,7,9,1.3,1.6
DFMC-289,IGNIFER,1,Ignis,6,2,5,8,9,3,1.15,0.55
DFMC-290,IGNIFER,2,Pyre,7,2,5,8,9,3,1.3,0.55
DFMC-291,IGNIFER,3,Ignifer,9,3,5,8,9,3,1.6,0.7
DFMC-292,VIGIL,1,Sentry,2,6,7,4,4,9,0.55,1.15
DFMC-293,VIGIL,2,Sentinel,3,7,7,4,4,9,0.7,1.3
DFMC-294,VIGIL,3,Vigil,4,9,7,4,4,9,0.85,1.6
DFMC-295,PYRIEL,1,Wildfire,6,2,9,4,10,3,1.15,0.55
DFMC-296,PYRIEL,2,Balefire,8,2,9,4,10,3,1.45,0.55
DFMC-297,PYRIEL,3,Pyriel,10,3,9,4,10,3,1.75,0.7
DFMC-298,DEMIURGE,1,Archon,6,2,10,5,9,4,1.15,0.55
DFMC-299,DEMIURGE,2,Aeon,7,3,10,5,9,4,1.3,0.7
DFMC-300,DEMIURGE,3,Demiurge,9,4,10,5,9,4,1.6,0.85
